feature,label
"[0.0033566979691386223, 0.3637535870075226, -0.056933317333459854, -0.2096860557794571, 0.06068627908825874, -0.44834837317466736, -0.31811127066612244, -0.0731390044093132, -0.2535521984100342, -0.3012872636318207, -0.18725426495075226, 0.419622004032135, 0.7564305067062378, -0.5524476766586304, -0.8186811208724976, 0.45801666378974915, -0.5067920684814453, 0.3895798325538635, 0.5871050357818604, -0.14764632284641266, -0.9676361680030823, 0.12242091447114944, 0.4138081669807434, -0.13358229398727417, -0.3921900689601898, 0.4125269949436188, 0.640112578868866, -0.3223843276500702, 0.7102810740470886, -0.8326387405395508, 0.1973600536584854, -0.8277866244316101, 0.3629419505596161, 0.23506209254264832, -0.022946221753954887, 0.2286566197872162, 0.5420151352882385, -0.22287701070308685, 0.06816740334033966, -0.08419112861156464, 0.4615972340106964, 0.7342235445976257, 0.43481430411338806, 0.3509073853492737, 0.43973875045776367, -0.10681460052728653, 0.9544300436973572, -0.010001825168728828, -0.28260743618011475, 0.30094847083091736]",0
"[-0.9783226251602173, -0.6526751518249512, 0.05593913793563843, -0.5706415176391602, 0.4888398051261902, -1.319181203842163, 0.6109644174575806, 1.5612764358520508, -0.21465182304382324, -0.9661258459091187, -0.21634319424629211, 1.8266632556915283, 0.2919418215751648, 0.6082764863967896, -0.22249728441238403, -0.3429511487483978, -1.0998077392578125, 0.6780027151107788, -0.2253367006778717, 0.1569448709487915, -1.3493777513504028, -0.12140059471130371, -0.23867803812026978, -0.45541858673095703, -0.1881590187549591, -0.5016155242919922, 0.5771162509918213, -0.03941534459590912, 0.7776760458946228, -0.6104917526245117, -0.6881753206253052, 0.2965129017829895, -0.005762577056884766, -0.17753610014915466, 0.9325444102287292, 0.6611876487731934, -0.7819580435752869, -0.11576670408248901, 0.07452505081892014, -0.13886117935180664, -0.8353633880615234, 0.1430896520614624, -0.3335845470428467, 0.9655453562736511, 1.1820961236953735, 0.697688102722168, 0.34768807888031006, -0.4396607279777527, -1.1445850133895874, 2.235302448272705]",0
"[-0.1281863898038864, 0.2728042006492615, -0.07980611175298691, -0.16862457990646362, -0.061587292701005936, -0.49948349595069885, 0.08690192550420761, 0.13628078997135162, -0.46902763843536377, -0.7027924656867981, -0.3776824474334717, 0.21257956326007843, 0.8793186545372009, -0.2877644896507263, -0.9915523529052734, 0.390142560005188, -0.4107535779476166, 0.4561227262020111, 0.7530896067619324, -0.0450487956404686, -1.0903315544128418, 0.27203992009162903, 0.5399919748306274, 0.0674355998635292, -0.42271050810813904, 0.45511093735694885, 0.6079016923904419, -0.29982075095176697, 0.7041470408439636, -1.118049144744873, 0.14503595232963562, -0.7704156041145325, 0.22204941511154175, 0.4550624489784241, 0.2003210335969925, 0.07609429210424423, 0.5712202787399292, -0.17291948199272156, -0.008717471733689308, -0.38643068075180054, 0.559293270111084, 0.3785674273967743, 0.580111026763916, 0.34451836347579956, 0.37069985270500183, -0.5398896336555481, 0.8325800895690918, 0.009850522503256798, -0.23118461668491364, 0.19299042224884033]",0
"[0.8402745723724365, 1.0185315608978271, -0.7004777193069458, 0.8056102991104126, 0.7798094749450684, 0.23003098368644714, -0.7650842666625977, 0.5445259809494019, -0.06391175836324692, -0.33742058277130127, 0.6883203983306885, -0.41689637303352356, -0.5140811800956726, -0.1653319001197815, -0.716027557849884, -0.5362154245376587, -1.1213865280151367, -0.10930071771144867, 1.2821465730667114, 0.13083483278751373, 0.006991205271333456, -0.2751145362854004, 0.14454779028892517, 0.35428929328918457, -0.5149230360984802, 0.5888310670852661, 0.45278501510620117, 0.0011762910289689898, 0.8633512258529663, 0.7474713921546936, -0.3963024616241455, -0.20941568911075592, -0.20292019844055176, 0.9347555041313171, -0.3831557333469391, 1.1426115036010742, 0.6804901957511902, 0.14544406533241272, -1.0495253801345825, 0.663482129573822, -1.357664942741394, 0.33962714672088623, 0.11153881251811981, 0.23264488577842712, 1.3323580026626587, -0.20746617019176483, 0.9248154759407043, -0.21995261311531067, -0.6120483875274658, -0.37952375411987305]",0
"[0.2395711988210678, 0.4404379725456238, -0.06726120412349701, 0.11208584904670715, 0.22380289435386658, -0.38641583919525146, -0.2801729142665863, -0.07144326716661453, -0.2594476640224457, -0.5257405042648315, -0.32165980339050293, 0.28191491961479187, 0.674077570438385, -0.4050317108631134, -0.8473644256591797, 0.25498679280281067, -0.45039889216423035, 0.2565630376338959, 0.8114109635353088, -0.17499560117721558, -0.7910709381103516, 0.1319381445646286, 0.5070059895515442, -0.09154009073972702, -0.4698197543621063, 0.4331415593624115, 0.6800931096076965, -0.26190707087516785, 0.746025800704956, -0.635731041431427, 0.2717144787311554, -0.909439206123352, 0.38617387413978577, 0.41352781653404236, -0.0763242170214653, 0.1989077776670456, 0.40037801861763, -0.09749767184257507, -0.23140878975391388, -0.09663796424865723, 0.4813028573989868, 0.3015325963497162, 0.5563840270042419, 0.3517681956291199, 0.5915393233299255, -0.2277819961309433, 0.9134993553161621, -0.11001167446374893, -0.24991202354431152, 0.2447439432144165]",0
"[-0.9783226251602173, -0.6526751518249512, 0.05593913793563843, -0.5706415176391602, 0.4888398051261902, -1.319181203842163, 0.6109644174575806, 1.5612764358520508, -0.21465182304382324, -0.9661258459091187, -0.21634319424629211, 1.8266632556915283, 0.2919418215751648, 0.6082764863967896, -0.22249728441238403, -0.3429511487483978, -1.0998077392578125, 0.6780027151107788, -0.2253367006778717, 0.1569448709487915, -1.3493777513504028, -0.12140059471130371, -0.23867803812026978, -0.45541858673095703, -0.1881590187549591, -0.5016155242919922, 0.5771162509918213, -0.03941534459590912, 0.7776760458946228, -0.6104917526245117, -0.6881753206253052, 0.2965129017829895, -0.005762577056884766, -0.17753610014915466, 0.9325444102287292, 0.6611876487731934, -0.7819580435752869, -0.11576670408248901, 0.07452505081892014, -0.13886117935180664, -0.8353633880615234, 0.1430896520614624, -0.3335845470428467, 0.9655453562736511, 1.1820961236953735, 0.697688102722168, 0.34768807888031006, -0.4396607279777527, -1.1445850133895874, 2.235302448272705]",0
"[0.07965037226676941, 0.33947262167930603, 0.17680293321609497, -0.38972556591033936, 0.1374373883008957, -0.4934430420398712, -0.5251718759536743, -0.2805196940898895, -0.20008115470409393, -0.042792897671461105, -0.32268691062927246, 0.7835737466812134, 0.811984121799469, -0.8375835418701172, -0.9035916328430176, 0.5417457222938538, -0.2729698121547699, 0.42377403378486633, 0.34264644980430603, -0.504477322101593, -1.2173393964767456, 0.01705366186797619, 0.4591958820819855, -0.5624439716339111, -0.3538518249988556, 0.34020063281059265, 0.6283516883850098, -0.45631107687950134, 0.864820122718811, -0.931003987789154, 0.3023630678653717, -0.8865243196487427, 0.6125116944313049, -0.08901316672563553, -0.03642795979976654, 0.05025048926472664, 0.4309348165988922, -0.25919103622436523, 0.40347662568092346, 0.07261162996292114, 0.6202535033226013, 0.8010218739509583, 0.47241485118865967, 0.38841861486434937, 0.5011178255081177, 0.1338125318288803, 1.2269978523254395, -0.08575938642024994, -0.5756874680519104, 0.6011034846305847]",0
"[0.7774353623390198, 1.0337872505187988, -0.5332059264183044, 0.9592223167419434, 0.8972529768943787, 0.24631136655807495, -0.8875966668128967, 0.41922861337661743, -0.036692824214696884, -0.19258244335651398, 0.704998254776001, -0.4172809422016144, -0.6880695819854736, -0.30714747309684753, -0.6645476818084717, -0.5762181878089905, -1.1544935703277588, -0.18453620374202728, 1.130078911781311, 0.0746738538146019, 0.09071312099695206, -0.08209828287363052, 0.10168077796697617, 0.2762092053890228, -0.512424886226654, 0.5679555535316467, 0.48850351572036743, -0.18657797574996948, 0.7838160395622253, 0.9896376132965088, -0.3173617124557495, -0.21996602416038513, -0.286138117313385, 0.8348961472511292, -0.46380677819252014, 1.1624410152435303, 0.7197991609573364, 0.1468798816204071, -0.9372403621673584, 0.7500899434089661, -1.437968373298645, 0.4357011318206787, -0.1371975541114807, 0.06962927430868149, 1.3411657810211182, -0.19179634749889374, 1.0684196949005127, -0.24154546856880188, -0.467315673828125, -0.21967853605747223]",0
"[0.5428804159164429, 0.3908979594707489, -0.32177335023880005, -0.5070974826812744, 0.3212774395942688, -0.5775102972984314, -0.63960200548172, 0.605525016784668, 0.04885125160217285, 0.015693096444010735, 0.6788552403450012, 0.7699106931686401, 0.31699705123901367, 0.07120132446289062, -1.1743701696395874, -0.32022008299827576, -1.0054500102996826, 0.26200956106185913, 0.24502742290496826, -0.3905659019947052, -0.6669785976409912, -1.141871452331543, 0.7053231596946716, -0.6615973114967346, -0.22715559601783752, 0.4726792871952057, -0.272737592458725, -0.16869927942752838, 0.9441817998886108, -0.6556952595710754, -0.7376623749732971, -0.27442559599876404, -0.22505801916122437, 0.33911722898483276, -0.13481512665748596, 1.2720457315444946, 0.4208032190799713, -0.30555975437164307, -0.17879332602024078, 0.5041346549987793, -0.5134860277175903, 0.4380239248275757, 0.24539947509765625, 1.3948893547058105, 0.4390658140182495, 0.0255571398884058, 0.7059215903282166, -0.20039695501327515, -1.2458535432815552, 0.1404876559972763]",0
"[0.15702587366104126, 0.48410916328430176, -0.49360600113868713, 0.37117093801498413, 0.14052754640579224, -0.2931862473487854, 0.06784997880458832, 0.35768869519233704, -0.49546581506729126, -1.0155636072158813, -0.1956591159105301, -0.09410092979669571, 0.4366113841533661, -0.22325259447097778, -0.9020899534225464, -0.05193403735756874, -0.6606565117835999, 0.34619012475013733, 1.2437649965286255, 0.1267392337322235, -0.7255733609199524, 0.2252887636423111, 0.405018150806427, 0.35216766595840454, -0.4590044617652893, 0.6065521240234375, 0.6299980878829956, -0.22318419814109802, 0.8826683759689331, -0.5435513854026794, 0.03339122608304024, -0.5888946652412415, 0.025755247101187706, 0.7267342805862427, 0.1622621715068817, 0.14295506477355957, 0.5595430731773376, 0.06050311028957367, -0.5215856432914734, -0.32165804505348206, 0.02457735314965248, 0.23525625467300415, 0.4394885301589966, 0.1765166074037552, 0.8326935768127441, -0.6419183611869812, 0.7051280736923218, -0.11477143317461014, -0.23738978803157806, -0.15644487738609314]",0
