feature,label
"[-0.27040597796440125, -0.19686388969421387, -0.29604965448379517, -0.17376689612865448, -0.8916500806808472, -0.3960265815258026, 0.2575720548629761, 0.18934276700019836, -0.31210634112358093, -0.5518295764923096, 0.3080040216445923, 0.04683646559715271, 0.3291688561439514, -0.059275105595588684, -0.29658395051956177, -0.17797771096229553, -0.2906392812728882, 0.5273220539093018, -0.6399976015090942, -1.0328055620193481, 0.5263789892196655, 0.39345550537109375, 0.3315330445766449, 0.6562851071357727, 0.0018964707851409912, 0.055205389857292175, 0.011331558227539062, 0.8264142274856567, -0.8010724782943726, 0.29318779706954956, 0.05678543448448181, -0.13046476244926453, 0.24635298550128937, -0.40447649359703064, 0.025912046432495117, -0.559180498123169, 0.5608170628547668, 0.3622065782546997, -0.11517230421304703, -0.05477838218212128, -0.22689932584762573, 0.25928911566734314, -0.8348981142044067, 0.12021848559379578, 0.933315634727478, -0.23211094737052917, -0.003661513328552246, -0.2116905152797699, 0.566406786441803, -0.21106217801570892]",0
"[-0.6734008193016052, 0.15200069546699524, -0.2909250259399414, -1.1649540662765503, -0.06443469971418381, 0.12296662479639053, -0.4034160077571869, 0.204855814576149, -0.36052337288856506, -0.20146383345127106, -0.10520422458648682, -0.3923243284225464, 0.014041082002222538, -0.03667992725968361, -0.21792666614055634, 0.16055795550346375, 0.1702491044998169, 0.25792938470840454, -0.11719229072332382, 0.013642747886478901, -0.7654686570167542, -0.047195229679346085, 0.9457438588142395, 0.3808501660823822, -0.4450279474258423, 0.12915825843811035, 0.575353741645813, -0.5785502791404724, 0.39358964562416077, -0.0729711726307869, 0.660492479801178, -0.41532155871391296, -1.3240667581558228, 0.5084607005119324, -0.025994762778282166, 0.3118916451931, -0.1913118213415146, -0.1533629298210144, 0.5664986371994019, -0.3610420525074005, 0.6216662526130676, -0.5704466700553894, 0.4788096249103546, 0.0016781128942966461, 0.15403978526592255, -0.09276323765516281, 0.406983345746994, -0.21461834013462067, -0.3375076353549957, -0.44884154200553894]",0
"[-0.27040597796440125, -0.19686388969421387, -0.29604965448379517, -0.17376689612865448, -0.8916500806808472, -0.3960265815258026, 0.2575720548629761, 0.18934276700019836, -0.31210634112358093, -0.5518295764923096, 0.3080040216445923, 0.04683646559715271, 0.3291688561439514, -0.059275105595588684, -0.29658395051956177, -0.17797771096229553, -0.2906392812728882, 0.5273220539093018, -0.6399976015090942, -1.0328055620193481, 0.5263789892196655, 0.39345550537109375, 0.3315330445766449, 0.6562851071357727, 0.0018964707851409912, 0.055205389857292175, 0.011331558227539062, 0.8264142274856567, -0.8010724782943726, 0.29318779706954956, 0.05678543448448181, -0.13046476244926453, 0.24635298550128937, -0.40447649359703064, 0.025912046432495117, -0.559180498123169, 0.5608170628547668, 0.3622065782546997, -0.11517230421304703, -0.05477838218212128, -0.22689932584762573, 0.25928911566734314, -0.8348981142044067, 0.12021848559379578, 0.933315634727478, -0.23211094737052917, -0.003661513328552246, -0.2116905152797699, 0.566406786441803, -0.21106217801570892]",0
"[-0.27040597796440125, -0.19686388969421387, -0.29604965448379517, -0.17376689612865448, -0.8916500806808472, -0.3960265815258026, 0.2575720548629761, 0.18934276700019836, -0.31210634112358093, -0.5518295764923096, 0.3080040216445923, 0.04683646559715271, 0.3291688561439514, -0.059275105595588684, -0.29658395051956177, -0.17797771096229553, -0.2906392812728882, 0.5273220539093018, -0.6399976015090942, -1.0328055620193481, 0.5263789892196655, 0.39345550537109375, 0.3315330445766449, 0.6562851071357727, 0.0018964707851409912, 0.055205389857292175, 0.011331558227539062, 0.8264142274856567, -0.8010724782943726, 0.29318779706954956, 0.05678543448448181, -0.13046476244926453, 0.24635298550128937, -0.40447649359703064, 0.025912046432495117, -0.559180498123169, 0.5608170628547668, 0.3622065782546997, -0.11517230421304703, -0.05477838218212128, -0.22689932584762573, 0.25928911566734314, -0.8348981142044067, 0.12021848559379578, 0.933315634727478, -0.23211094737052917, -0.003661513328552246, -0.2116905152797699, 0.566406786441803, -0.21106217801570892]",0
"[-0.27040597796440125, -0.19686388969421387, -0.29604965448379517, -0.17376689612865448, -0.8916500806808472, -0.3960265815258026, 0.2575720548629761, 0.18934276700019836, -0.31210634112358093, -0.5518295764923096, 0.3080040216445923, 0.04683646559715271, 0.3291688561439514, -0.059275105595588684, -0.29658395051956177, -0.17797771096229553, -0.2906392812728882, 0.5273220539093018, -0.6399976015090942, -1.0328055620193481, 0.5263789892196655, 0.39345550537109375, 0.3315330445766449, 0.6562851071357727, 0.0018964707851409912, 0.055205389857292175, 0.011331558227539062, 0.8264142274856567, -0.8010724782943726, 0.29318779706954956, 0.05678543448448181, -0.13046476244926453, 0.24635298550128937, -0.40447649359703064, 0.025912046432495117, -0.559180498123169, 0.5608170628547668, 0.3622065782546997, -0.11517230421304703, -0.05477838218212128, -0.22689932584762573, 0.25928911566734314, -0.8348981142044067, 0.12021848559379578, 0.933315634727478, -0.23211094737052917, -0.003661513328552246, -0.2116905152797699, 0.566406786441803, -0.21106217801570892]",0
"[-0.27040597796440125, -0.19686388969421387, -0.29604965448379517, -0.17376689612865448, -0.8916500806808472, -0.3960265815258026, 0.2575720548629761, 0.18934276700019836, -0.31210634112358093, -0.5518295764923096, 0.3080040216445923, 0.04683646559715271, 0.3291688561439514, -0.059275105595588684, -0.29658395051956177, -0.17797771096229553, -0.2906392812728882, 0.5273220539093018, -0.6399976015090942, -1.0328055620193481, 0.5263789892196655, 0.39345550537109375, 0.3315330445766449, 0.6562851071357727, 0.0018964707851409912, 0.055205389857292175, 0.011331558227539062, 0.8264142274856567, -0.8010724782943726, 0.29318779706954956, 0.05678543448448181, -0.13046476244926453, 0.24635298550128937, -0.40447649359703064, 0.025912046432495117, -0.559180498123169, 0.5608170628547668, 0.3622065782546997, -0.11517230421304703, -0.05477838218212128, -0.22689932584762573, 0.25928911566734314, -0.8348981142044067, 0.12021848559379578, 0.933315634727478, -0.23211094737052917, -0.003661513328552246, -0.2116905152797699, 0.566406786441803, -0.21106217801570892]",0
"[-0.27040597796440125, -0.19686388969421387, -0.29604965448379517, -0.17376689612865448, -0.8916500806808472, -0.3960265815258026, 0.2575720548629761, 0.18934276700019836, -0.31210634112358093, -0.5518295764923096, 0.3080040216445923, 0.04683646559715271, 0.3291688561439514, -0.059275105595588684, -0.29658395051956177, -0.17797771096229553, -0.2906392812728882, 0.5273220539093018, -0.6399976015090942, -1.0328055620193481, 0.5263789892196655, 0.39345550537109375, 0.3315330445766449, 0.6562851071357727, 0.0018964707851409912, 0.055205389857292175, 0.011331558227539062, 0.8264142274856567, -0.8010724782943726, 0.29318779706954956, 0.05678543448448181, -0.13046476244926453, 0.24635298550128937, -0.40447649359703064, 0.025912046432495117, -0.559180498123169, 0.5608170628547668, 0.3622065782546997, -0.11517230421304703, -0.05477838218212128, -0.22689932584762573, 0.25928911566734314, -0.8348981142044067, 0.12021848559379578, 0.933315634727478, -0.23211094737052917, -0.003661513328552246, -0.2116905152797699, 0.566406786441803, -0.21106217801570892]",0
"[-0.27040597796440125, -0.19686388969421387, -0.29604965448379517, -0.17376689612865448, -0.8916500806808472, -0.3960265815258026, 0.2575720548629761, 0.18934276700019836, -0.31210634112358093, -0.5518295764923096, 0.3080040216445923, 0.04683646559715271, 0.3291688561439514, -0.059275105595588684, -0.29658395051956177, -0.17797771096229553, -0.2906392812728882, 0.5273220539093018, -0.6399976015090942, -1.0328055620193481, 0.5263789892196655, 0.39345550537109375, 0.3315330445766449, 0.6562851071357727, 0.0018964707851409912, 0.055205389857292175, 0.011331558227539062, 0.8264142274856567, -0.8010724782943726, 0.29318779706954956, 0.05678543448448181, -0.13046476244926453, 0.24635298550128937, -0.40447649359703064, 0.025912046432495117, -0.559180498123169, 0.5608170628547668, 0.3622065782546997, -0.11517230421304703, -0.05477838218212128, -0.22689932584762573, 0.25928911566734314, -0.8348981142044067, 0.12021848559379578, 0.933315634727478, -0.23211094737052917, -0.003661513328552246, -0.2116905152797699, 0.566406786441803, -0.21106217801570892]",0
"[-0.27040597796440125, -0.19686388969421387, -0.29604965448379517, -0.17376689612865448, -0.8916500806808472, -0.3960265815258026, 0.2575720548629761, 0.18934276700019836, -0.31210634112358093, -0.5518295764923096, 0.3080040216445923, 0.04683646559715271, 0.3291688561439514, -0.059275105595588684, -0.29658395051956177, -0.17797771096229553, -0.2906392812728882, 0.5273220539093018, -0.6399976015090942, -1.0328055620193481, 0.5263789892196655, 0.39345550537109375, 0.3315330445766449, 0.6562851071357727, 0.0018964707851409912, 0.055205389857292175, 0.011331558227539062, 0.8264142274856567, -0.8010724782943726, 0.29318779706954956, 0.05678543448448181, -0.13046476244926453, 0.24635298550128937, -0.40447649359703064, 0.025912046432495117, -0.559180498123169, 0.5608170628547668, 0.3622065782546997, -0.11517230421304703, -0.05477838218212128, -0.22689932584762573, 0.25928911566734314, -0.8348981142044067, 0.12021848559379578, 0.933315634727478, -0.23211094737052917, -0.003661513328552246, -0.2116905152797699, 0.566406786441803, -0.21106217801570892]",0
"[-0.27040597796440125, -0.19686388969421387, -0.29604965448379517, -0.17376689612865448, -0.8916500806808472, -0.3960265815258026, 0.2575720548629761, 0.18934276700019836, -0.31210634112358093, -0.5518295764923096, 0.3080040216445923, 0.04683646559715271, 0.3291688561439514, -0.059275105595588684, -0.29658395051956177, -0.17797771096229553, -0.2906392812728882, 0.5273220539093018, -0.6399976015090942, -1.0328055620193481, 0.5263789892196655, 0.39345550537109375, 0.3315330445766449, 0.6562851071357727, 0.0018964707851409912, 0.055205389857292175, 0.011331558227539062, 0.8264142274856567, -0.8010724782943726, 0.29318779706954956, 0.05678543448448181, -0.13046476244926453, 0.24635298550128937, -0.40447649359703064, 0.025912046432495117, -0.559180498123169, 0.5608170628547668, 0.3622065782546997, -0.11517230421304703, -0.05477838218212128, -0.22689932584762573, 0.25928911566734314, -0.8348981142044067, 0.12021848559379578, 0.933315634727478, -0.23211094737052917, -0.003661513328552246, -0.2116905152797699, 0.566406786441803, -0.21106217801570892]",0
