feature,label
"[-0.9065913558006287, 0.43012934923171997, -0.9894894361495972, 0.45571762323379517, 0.1902485489845276, -0.12845519185066223, 1.0272746086120605, 0.7908400893211365, -0.4097316265106201, 0.513778805732727, 0.019298821687698364, 0.8016249537467957, -0.5669909715652466, 0.03902706503868103, -0.25615495443344116, -0.7110912203788757, -0.0655689686536789, -0.3391418755054474, 0.48174697160720825, -0.48392361402511597, 0.6331488490104675, -0.8109973669052124, 1.3864175081253052, 1.1203501224517822, 0.2862876057624817, -0.6421211957931519, 0.050980761647224426, 0.42790353298187256, -0.18470412492752075, -0.4086439311504364, 1.0941784381866455, -0.29324930906295776, 0.42326146364212036, -0.6122209429740906, 0.8511514663696289, -0.5464143753051758, 0.2598797082901001, -0.03595372661948204, 0.3493097722530365, -0.15248119831085205, -0.5139229893684387, 0.30149391293525696, -0.7961264252662659, -0.05156630277633667, 0.7237650156021118, -0.22784611582756042, 0.2544887661933899, 0.377778559923172, 0.02280871570110321, -0.06935794651508331]",0
"[1.3684537410736084, -1.432893991470337, -0.5431720614433289, -0.3339540958404541, -1.0994749069213867, 1.2338896989822388, 0.43796253204345703, -0.9265671968460083, -1.328405499458313, 0.3175242841243744, -0.7093430757522583, -0.39253535866737366, 0.10539767146110535, 0.952832818031311, -0.4869016408920288, -0.7475415468215942, -0.49013495445251465, 0.9319766759872437, -0.3112015128135681, -0.22412976622581482, -0.8971734046936035, -0.7947977781295776, -0.5650125741958618, 0.5442484617233276, 0.23405402898788452, -0.07765180617570877, 0.10327738523483276, 0.24003155529499054, -1.5715396404266357, 1.230649471282959, 0.17794665694236755, -0.7034664154052734, -0.32639098167419434, -1.6140007972717285, 0.3290269374847412, -0.8474475145339966, -1.137253761291504, -0.48611125349998474, -0.40423309803009033, -1.4868879318237305, -0.7691704034805298, -0.32719793915748596, -0.4601705074310303, 0.038709208369255066, -1.0413119792938232, 0.16622808575630188, 0.7536949515342712, 0.3196096122264862, -0.1342155635356903, -0.5982619524002075]",0
"[-0.4598643183708191, -0.14060895144939423, -0.6627331376075745, -0.2908620238304138, 0.07708549499511719, -0.7181564569473267, -0.6616873741149902, 0.44193750619888306, 0.46219727396965027, -0.4771842062473297, -0.10445889830589294, -0.34953412413597107, -0.07775914669036865, 0.7769109010696411, -0.7047423720359802, 0.09581628441810608, -0.11112916469573975, -0.6885493397712708, 1.0007997751235962, 0.7671157121658325, -0.45934805274009705, -1.0895702838897705, 0.5441250801086426, 1.7191523313522339, 0.6456491947174072, -0.9795764684677124, -0.556102991104126, -0.05069994181394577, 1.0445410013198853, -0.6405528783798218, 1.2350571155548096, -1.099515676498413, 0.40303438901901245, 0.1250237077474594, 0.4616820812225342, -0.5446698069572449, 0.983782172203064, 0.458793044090271, 0.5648711919784546, -0.25483179092407227, -0.21011412143707275, -0.05388180911540985, -0.34766000509262085, -0.7901438474655151, -0.6547418832778931, 0.3210442066192627, 1.9463189840316772, 1.0021848678588867, -0.28981539607048035, -0.08251817524433136]",0
"[-0.9065913558006287, 0.43012934923171997, -0.9894894361495972, 0.45571762323379517, 0.1902485489845276, -0.12845519185066223, 1.0272746086120605, 0.7908400893211365, -0.4097316265106201, 0.513778805732727, 0.019298821687698364, 0.8016249537467957, -0.5669909715652466, 0.03902706503868103, -0.25615495443344116, -0.7110912203788757, -0.0655689686536789, -0.3391418755054474, 0.48174697160720825, -0.48392361402511597, 0.6331488490104675, -0.8109973669052124, 1.3864175081253052, 1.1203501224517822, 0.2862876057624817, -0.6421211957931519, 0.050980761647224426, 0.42790353298187256, -0.18470412492752075, -0.4086439311504364, 1.0941784381866455, -0.29324930906295776, 0.42326146364212036, -0.6122209429740906, 0.8511514663696289, -0.5464143753051758, 0.2598797082901001, -0.03595372661948204, 0.3493097722530365, -0.15248119831085205, -0.5139229893684387, 0.30149391293525696, -0.7961264252662659, -0.05156630277633667, 0.7237650156021118, -0.22784611582756042, 0.2544887661933899, 0.377778559923172, 0.02280871570110321, -0.06935794651508331]",0
"[0.6708261966705322, -0.5264078974723816, -0.021682143211364746, 0.5189322829246521, 0.2759333848953247, 0.6478435397148132, 0.560962438583374, -0.08820026367902756, -0.0880492627620697, 0.16825062036514282, 0.1394788920879364, 0.42322391271591187, -0.33785754442214966, 0.6255339980125427, -0.16687187552452087, -0.6999284029006958, 0.25494712591171265, 0.8156915903091431, 0.18377888202667236, -0.40529727935791016, 0.13285033404827118, -0.63334721326828, -0.20142491161823273, 0.8011985421180725, 0.04390871524810791, 0.48597240447998047, -0.6401612758636475, 1.5131813287734985, -1.2995457649230957, 0.3522830605506897, -0.005524873733520508, 0.8185158967971802, 0.5398021936416626, -1.0310660600662231, 0.47634756565093994, -0.5706897377967834, -0.4783937335014343, -0.44635888934135437, -1.5012257099151611, -0.08835673332214355, -0.023094668984413147, -0.19264493882656097, -0.6642667055130005, 0.35566043853759766, 0.046361327171325684, -0.3680723309516907, 0.12442588806152344, -0.49376189708709717, -0.22679613530635834, -0.3045956790447235]",0
"[0.18958419561386108, -1.0114637613296509, -0.30333396792411804, 0.5187938809394836, -0.5146883130073547, 0.35065287351608276, 1.165872573852539, -0.0866038128733635, -0.900046706199646, 0.4803287982940674, -0.21473100781440735, 0.15701067447662354, -0.6977617740631104, 0.11067849397659302, -0.8175085783004761, 0.08265101164579391, 0.06945154815912247, 0.2967113256454468, 0.6840704679489136, -0.7748223543167114, 0.24446700513362885, -0.2408246099948883, 0.9671409130096436, 0.6500648260116577, 0.44146525859832764, -0.05050506442785263, -0.7514525651931763, 0.06768956780433655, -0.2967436909675598, -0.3822561800479889, 0.701935350894928, 0.2524717152118683, 0.8675442934036255, -0.6453008055686951, 0.1010560542345047, -0.8263226747512817, -0.5935828685760498, -0.1417878419160843, 0.34658244252204895, -0.5864394903182983, 0.4352264702320099, -0.1200091540813446, -0.7116243243217468, -0.5181909799575806, 0.44856709241867065, 0.3013956546783447, -0.24574515223503113, -0.2459191232919693, 0.07530003786087036, -0.0660252720117569]",0
"[-0.1203678548336029, -0.3852851986885071, -0.4508013427257538, 0.7659209966659546, -0.27252352237701416, -0.26867109537124634, 0.23431803286075592, 0.21476784348487854, -0.6160633563995361, 0.5953792333602905, -0.3075600266456604, 0.1838373988866806, -0.5156633853912354, 0.20776818692684174, -0.8895134329795837, -0.11820197850465775, -0.06934316456317902, -0.4797084629535675, 0.9035466313362122, -0.5500141382217407, 0.1733863204717636, 0.06426732242107391, 0.22345633804798126, 0.16147267818450928, 1.0717260837554932, -0.697245717048645, -0.4183505177497864, 0.37628716230392456, 0.2889413833618164, -0.8710160255432129, 0.5465097427368164, -0.06344239413738251, 0.7088209390640259, 0.09807751327753067, -0.20531052350997925, -0.919400691986084, -0.20892655849456787, 0.11072008311748505, 0.7890714406967163, -0.5174171924591064, -0.4118921160697937, 0.3515581488609314, -0.673991322517395, -0.23221151530742645, 0.16929176449775696, -0.5311530232429504, -0.21644043922424316, 0.7689846158027649, 0.2169685661792755, 0.717921257019043]",0
"[-0.29002895951271057, -0.31684282422065735, -0.37249401211738586, -0.2515490651130676, -0.6881842017173767, -0.32883837819099426, -0.2825925648212433, -0.1375303864479065, -0.3077297508716583, -0.16744694113731384, -0.054871946573257446, -0.25429677963256836, 0.18278288841247559, 0.17125694453716278, -0.6905027627944946, 0.06813202798366547, -0.5760351419448853, -0.5362401008605957, 0.3698074221611023, 0.10348321497440338, -0.28148728609085083, 0.16784775257110596, 0.07903876900672913, 0.16873770952224731, 0.39719724655151367, -0.5488014817237854, 0.1707616150379181, -0.4518689215183258, 0.7281036376953125, -0.2874620854854584, 0.8677784204483032, -0.9255255460739136, -0.6099233627319336, 0.470294713973999, 0.06453320384025574, -0.423197865486145, -0.1923159658908844, 0.40534454584121704, 1.3354158401489258, -0.4305606782436371, -0.22810059785842896, 0.3149253726005554, -0.13587141036987305, -0.4001064598560333, -0.15271662175655365, -0.043525248765945435, 0.3250635862350464, 0.7144344449043274, 0.19890190660953522, 0.007046534679830074]",0
"[-0.46297726035118103, -0.3442077934741974, -0.47284817695617676, -0.37068626284599304, -0.6334770917892456, -0.4824773371219635, -0.3073798716068268, 0.07917224615812302, -0.13086707890033722, -0.36846619844436646, -0.02115130051970482, -0.31463930010795593, 0.15546658635139465, 0.18520183861255646, -0.6924949884414673, 0.20789086818695068, -0.3638933598995209, -0.5911169052124023, 0.4553072452545166, 0.35976743698120117, -0.3952590525150299, -0.01006497722119093, 0.2716679871082306, 0.6001042127609253, 0.4268614947795868, -0.5988110899925232, -0.054666679352521896, -0.381013959646225, 0.890960156917572, -0.4125981032848358, 1.03688645362854, -1.0346992015838623, -0.5488711595535278, 0.5244795680046082, 0.20224757492542267, -0.3213549256324768, 0.10997273027896881, 0.37444886565208435, 1.3771398067474365, -0.3320675194263458, -0.06912470608949661, 0.30394837260246277, -0.11817878484725952, -0.6653704047203064, -0.20303620398044586, 0.1114843413233757, 0.7169128060340881, 0.7496371269226074, 0.014286546967923641, 0.013912639580667019]",0
"[-0.9065912961959839, 0.43012937903404236, -0.9894894361495972, 0.45571762323379517, 0.1902485489845276, -0.12845519185066223, 1.0272746086120605, 0.7908400893211365, -0.4097316265106201, 0.513778805732727, 0.019298821687698364, 0.8016249537467957, -0.5669909715652466, 0.03902706503868103, -0.25615495443344116, -0.7110912203788757, -0.0655689686536789, -0.3391418755054474, 0.48174697160720825, -0.48392361402511597, 0.6331487894058228, -0.8109973669052124, 1.3864173889160156, 1.1203501224517822, 0.2862876057624817, -0.6421211957931519, 0.050980761647224426, 0.42790353298187256, -0.18470412492752075, -0.4086439311504364, 1.0941784381866455, -0.29324930906295776, 0.42326146364212036, -0.6122209429740906, 0.8511514663696289, -0.5464143753051758, 0.2598797082901001, -0.03595372289419174, 0.3493097722530365, -0.15248119831085205, -0.5139229893684387, 0.30149391293525696, -0.7961264252662659, -0.05156630277633667, 0.7237650156021118, -0.22784611582756042, 0.2544887661933899, 0.377778559923172, 0.02280871570110321, -0.06935794651508331]",0
