name_n,static_APIs,label
config,"Proxy, ",0
md5,"Buffer, ",0
postcss-url,"readFile, ",0
sequelize,"Proxy, ",0
jsonwebtoken,"from, from, ",0
rxjs,"send, send, ",0
http-proxy,"write, write, ",0
promise,"readdirSync, readFileSync, readdirSync, readFileSync, readdirSync, readFileSync, readdirSync, readFileSync, ",0
tslint,"readdirSync, readFileSync, readFileSync, readFileSync, readFileSync, readdirSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readSync, readSync, readFileSync, ",0
vue-template-compiler,"Proxy, Proxy, ",0
terser,"from, from, readdirSync, readFileSync, ",0
core-js-pure,"readFileSync, ",0
clone,"Buffer, ",0
bl,"from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, ",0
webpack,"readdir, readdir, readFile, readFileSync, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, from, Proxy, ",0
http-server,"readdir, readFileSync, readFileSync, readFileSync, ",0
gatsby,"Proxy, Proxy, Proxy, Proxy, Proxy, readFileSync, readFileSync, readFileSync, readdir, readFile, readFile, readFileSync, readFileSync, readFile, readFile, readFileSync, readFileSync, readFile, readFileSync, readFile, readFile, from, from, from, from, ",0
qs,"from, Buffer, ",0
istanbul,"readFileSync, readFileSync, readdirSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFileSync, readFile, createReadStream, readFileSync, readFileSync, readFileSync, readFileSync, readdirSync, ",0
mongoose,"readFileSync, readFileSync, readFileSync, from, from, from, from, Proxy, Proxy, ",0
grunt,"readdirSync, readFileSync, readdirSync, ",0
eslint,"Proxy, readdirSync, readdirSync, ",0
jshint,"readFileSync, readdirSync, ",0
node-sass,"createReadStream, createReadStream, createReadStream, createReadStream, createReadStream, createReadStream, createReadStream, readdirSync, readdirSync, readdirSync, readdirSync, readdirSync, readdirSync, readdirSync, readdirSync, readdirSync, readFileSync, Buffer, Buffer, ",0
safe-buffer,"Buffer, Buffer, Buffer, Buffer, ",0
